District,AFto80_3,R_AFto80_3,AFto100_3,R_AFto100_3,AFto80_1,R_AFto80_1,AFto100_1,RAFto100_1
1,1386,0.090088,4225,0.274618,17,0.001105,625,0.040624
10,3635,0.267201,7109,0.522567,20,0.00147,1716,0.126139
2,249,0.015262,719,0.04407,29,0.001778,103,0.006313
3,2412,0.162315,7825,0.526581,192,0.012921,1246,0.083849
4,4925,0.455555,7906,0.731292,648,0.059939,3167,0.292942
5,463,0.032398,2321,0.16241,5,0.00035,183,0.012805
6,1171,0.086395,3324,0.245241,27,0.001992,478,0.035266
7,2176,0.150287,4569,0.31556,77,0.005318,1077,0.074384
8,695,0.041317,2911,0.173057,5,0.000297,204,0.012128
9,1192,0.080562,4070,0.275074,55,0.003717,287,0.019397
