Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,226900,250000,260000,250000,240000,244499,226900,234900,237000,239949.5,245905.5,250000,255000,262000,274500,294991,309995,334638.5,339900
2 or less Beds,149900,175900,193000,186900,172900,165000,149900,144000,137950,141235,154400,159925,159883,162900,169900,185000,195000,217250,240000
3 Beds,210000,235000,244900,235000,225000,220000,199900,205000,210000,214900,219925,227900,232950,238900,245000,264000,280000,310000,320000
4 beds,309900,330000,335000,319000,294900,300000,283229,289900,299900,299900,310000,315000,322500,327999,341500,359900,385000,424900,425000
5 or more Beds,542450,559000,598000,505000,458500,454900,464875,449900,455000,475000,469900,479955.5,499900,529000,525000,579900,615000,735000,689997.5
Built before 1950,325000,349450,435000,348278,262500,299000,339900,264900,319950,329000,339900,339900,384900,389000,477450,469500,479911,430000,575000
Built 1951-1970,220000,235000,255000,239900,234900,225900,210000,219900,222450,230000,238950,239900,245000,250000,260000,279900,300000,335000,331000
Built 1971-1990,194900,215000,224900,222000,210000,214250,189900,197873.5,199900,208889.5,215000,221000,229000,234000,239500,260000,274975,299900,314900
Built 1991-2010,324000,344900,336500,319000,300000,324900,299900,289900,314900,312000,312055,320000,329900,325000,340000,365000,385000,409900,439900
Built after 2011,,,,,,,339900,353900,359400,366280,359900,359900,369900,394900,399900,414900,439900,524900,536000
Virginia,,,,,,,,,,,263000,269000,277800,280000,297000,325000,350000,375000,
